checksum,ensemble_size,seed,trajectory,trajectory_label,robust_recommendation,expected_value_recommendation,minimax_regret_recommendation,most_feasible_recommendation,pareto_optimal,robust_score,expected_utility,median_utility,p10_utility,cvar10_utility,worst_utility,feasibility_probability,expected_regret,maximum_regret,expected_cost_usd,p90_cost_usd,expected_residual_need,expected_reliability,expected_failure_rate
14ef1fd0,64,240401,adaptive,Adaptive policy,true,true,true,true,true,0.9437327801248316,0.9623021587548644,0.9553057432762155,0.9293524143677148,0.9185309815375121,0.9014819381953425,1,0.037697841245135616,0.0985180618046575,169079.08453593188,193666.6439138998,0.4764776389031335,0.8450767235361134,0.07605868122571639
14ef1fd0,64,240401,balanced,Balanced trajectory,false,false,false,false,false,0.31248446421243786,0.6536134671092455,0.9953923301656024,0,0,0,0.65625,0.3463865328907544,1,215678.74591596858,247559.32279506666,0.4519784260813614,0.848945546116009,0.07814266152331223
14ef1fd0,64,240401,information,Maximum Information trajectory,false,false,false,false,false,0.31248446421243786,0.6536134671092455,0.9953923301656024,0,0,0,0.65625,0.3463865328907544,1,215678.74591596858,247559.32279506666,0.4519784260813614,0.848945546116009,0.07814266152331223
14ef1fd0,64,240401,exposure,Exposure Protection trajectory,false,false,false,false,false,0.31248446421243786,0.6536134671092455,0.9953923301656024,0,0,0,0.65625,0.3463865328907544,1,215678.74591596858,247559.32279506666,0.4519784260813614,0.848945546116009,0.07814266152331223
14ef1fd0,64,240401,equity,Equity First trajectory,false,false,false,false,false,0.3152877697513604,0.6572572805325343,1,0.0024322991989128386,0.002151662799705321,0.001679350053772731,0.65625,0.34274271946746576,0.9983206499462273,215678.74591596858,247559.3227950667,0.4486732611333793,0.8483148486872593,0.07814266152331223
14ef1fd0,64,240401,resilience,Reliability and Intervention trajectory,false,false,false,false,false,0.31248446421243786,0.6536134671092455,0.9953923301656024,0,0,0,0.65625,0.3463865328907544,1,215678.74591596858,247559.32279506666,0.4519784260813614,0.848945546116009,0.07814266152331223
14ef1fd0,64,240401,cost,Cost Efficient trajectory,false,false,false,false,true,0.10215072651118609,0.12948068023163772,0,0,0,0,1,0.8705193197683623,1,49786.58614515252,55315.878832857605,0.5760201510280215,0.7681961181036608,0.07021398713558097
